Date,ACWI,BTC-USD,GLD,HYG,IWM,KRE,LQD,QQQ,RSP,SMH,SOXX,SPY,UUP,XLP,XLU,XLY,^VIX
2024-05-08,105.7706527709961,,213.5800018310547,68.50141906738281,199.3220672607422,47.556705474853516,97.41231536865234,435.279541015625,159.13723754882812,219.73928833007812,216.10806274414062,504.9022521972656,26.646366119384766,72.57420349121094,33.149635314941406,87.4500961303711,
2024-05-09,106.40887451171875,,216.9499969482422,68.51921081542969,201.35653686523438,47.78420639038086,97.56782531738281,436.2291259765625,160.47259521484375,218.3299560546875,215.29859924316406,507.8114013671875,26.553844451904297,73.20018005371094,33.65440368652344,88.04505157470703,
2024-05-10,106.54425048828125,,218.7100067138672,68.41242980957031,199.8404541015625,47.72732925415039,97.25675964355469,437.2578430175781,160.7338409423828,221.6250457763672,217.41111755371094,508.4655456542969,26.590852737426758,73.61750030517578,33.62138366699219,87.5730209350586,
2024-05-13,106.61194610595703,,216.25999450683594,68.3946533203125,200.2610626220703,47.67993927001953,97.29336547851562,438.2667541503906,160.6951141357422,221.58534240722656,217.86520385742188,508.5337829589844,26.581600189208984,73.4088363647461,33.62138366699219,87.45992279052734,
2024-05-14,107.20181274414062,,218.08999633789062,68.50141906738281,202.33470153808594,48.23920440673828,97.57697296142578,441.08575439453125,161.33375549316406,225.37669372558594,221.48806762695312,510.8670654296875,26.52608871459961,73.2665786743164,33.71101760864258,87.85819244384766,
2024-05-15,108.42990112304688,,220.88999938964844,68.9017333984375,204.85824584960938,48.40982437133789,98.44609069824219,447.9800720214844,162.62071228027344,232.14553833007812,227.7071533203125,517.193115234375,26.359548568725586,73.31401062011719,34.21578598022461,87.99097442626953,
2024-05-16,108.2074966430664,,220.02999877929688,68.74161529541016,203.3812713623047,48.20128631591797,98.29054260253906,447.07012939453125,162.3594207763672,230.4582977294922,226.59165954589844,516.1289672851562,26.424312591552734,74.3572769165039,34.09784698486328,87.42058563232422,
2024-05-17,108.45892333984375,,223.66000366210938,68.7505111694336,203.5279998779297,48.52357482910156,98.06183624267578,446.8525085449219,162.6013641357422,228.52291870117188,225.30838012695312,516.8710327148438,26.424312591552734,74.17706298828125,34.12615966796875,87.8680419921875,
2024-05-20,108.52661895751953,,224.55999755859375,68.78608703613281,203.9779052734375,47.82212829589844,98.01609802246094,449.9682312011719,162.46588134765625,233.23728942871094,230.26388549804688,517.4664916992188,26.461322784423828,73.66492462158203,34.06954574584961,87.21406555175781,
2024-05-21,108.54594421386719,,224.22999572753906,68.73272705078125,203.78228759765625,47.88847732543945,98.18077087402344,450.8486022949219,162.39816284179688,232.90975952148438,229.52349853515625,518.7355346679688,26.461322784423828,74.1011962890625,34.37618637084961,87.77462005615234,
2024-05-22,108.03343963623047,,220.11000061035156,68.58147430419922,202.06080627441406,47.31025695800781,98.03439331054688,450.7594909667969,161.7788848876953,234.8153533935547,232.21844482421875,517.2418823242188,26.544593811035156,73.80718994140625,33.97047805786133,86.86003875732422,
2024-05-23,107.31786346435547,,215.72000122070312,68.3412857055664,198.74496459960938,46.17275619506836,97.60444641113281,448.7318115234375,159.5146484375,238.02113342285156,230.91539001464844,513.4638671875,26.600107192993164,72.93462371826172,33.39494705200195,85.4537582397461,
2024-05-24,108.01409912109375,,215.9199981689453,68.58147430419922,200.9457550048828,46.371822357177734,97.86972045898438,452.9751892089844,160.5693359375,242.42782592773438,235.49578857421875,516.8611450195312,26.516836166381836,73.12431335449219,33.72989273071289,86.31425476074219,
2024-05-28,108.0431137084961,,218.19000244140625,68.30569458007812,200.67185974121094,45.98316955566406,97.28421783447266,454.6864318847656,159.45655822753906,247.95603942871094,239.4740447998047,517.2223510742188,26.479827880859375,72.55525207519531,33.696868896484375,86.10281372070312,
2024-05-29,106.95040130615234,,216.16000366210938,68.10108184814453,197.70814514160156,44.874114990234375,96.76276397705078,451.4816589355469,157.58901977539062,243.80738830566406,234.5283966064453,513.6004638671875,26.62786293029785,72.03359985351562,33.262855529785156,85.537353515625,
2024-05-30,106.67963409423828,,216.57000732421875,68.37686920166016,199.58615112304688,45.66088104248047,97.35741424560547,446.644775390625,158.3147735595703,240.4527587890625,232.8995819091797,510.1934509277344,26.544593811035156,72.22329711914062,33.71101760864258,86.04381561279297,
2024-05-31,107.41455078125,,215.3000030517578,68.61705017089844,201.26852416992188,46.30546569824219,97.78736877441406,445.8138427734375,160.4145050048828,238.67617797851562,231.00424194335938,514.84033203125,26.52608871459961,73.3519287109375,34.305416107177734,86.52568817138672,
2024-06-03,107.6272964477539,,217.22000122070312,68.82979583740234,200.13392639160156,45.4997444152832,98.46235656738281,448.20758056640625,159.56301879882812,241.6536865234375,231.37936401367188,515.2601318359375,26.387304306030273,73.323486328125,33.91386032104492,86.48633575439453,
